Nacional;Comunidades y Ciudades Autónomas;Sexo;Periodo;Total
Total;04 Balears, Illes;Mujeres;2018;567.105
Total;04 Balears, Illes;Mujeres;2017;561.074
Total;04 Balears, Illes;Mujeres;2016;556.538
Total;04 Balears, Illes;Mujeres;2015;554.801
Total;04 Balears, Illes;Mujeres;2014;553.641
Total;04 Balears, Illes;Mujeres;2013;557.071
Total;04 Balears, Illes;Mujeres;2012;559.348
Total;04 Balears, Illes;Mujeres;2011;555.537
Total;04 Balears, Illes;Mujeres;2010;550.845
Total;04 Balears, Illes;Mujeres;2009;544.347
Total;04 Balears, Illes;Mujeres;2008;532.449
Total;04 Balears, Illes;Mujeres;2007;513.057
Total;04 Balears, Illes;Mujeres;2006;499.163
Total;04 Balears, Illes;Mujeres;2005;490.489
Total;04 Balears, Illes;Mujeres;2004;476.999
Total;04 Balears, Illes;Mujeres;2003;473.113
Total;04 Balears, Illes;Mujeres;2002;458.619
Total;04 Balears, Illes;Mujeres;2001;441.287
Total;04 Balears, Illes;Mujeres;2000;426.535
Total;04 Balears, Illes;Mujeres;1999;415.462
Total;04 Balears, Illes;Mujeres;1998;403.648
Total;04 Balears, Illes;Mujeres;1997;""
Total;04 Balears, Illes;Mujeres;1996;386.488
Total;05 Canarias;Total;2021;2.172.944
Total;05 Canarias;Total;2020;2.175.952
Total;05 Canarias;Total;2019;2.153.389
Total;05 Canarias;Total;2018;2.127.685
Total;05 Canarias;Total;2017;2.108.121
Total;05 Canarias;Total;2016;2.101.924
Total;05 Canarias;Total;2015;2.100.306
Total;05 Canarias;Total;2014;2.104.815
Total;05 Canarias;Total;2013;2.118.679
Total;05 Canarias;Total;2012;2.118.344
Total;05 Canarias;Total;2011;2.126.769
Total;05 Canarias;Total;2010;2.118.519
Total;05 Canarias;Total;2009;2.103.992
Total;05 Canarias;Total;2008;2.075.968
Total;05 Canarias;Total;2007;2.025.951
Total;05 Canarias;Total;2006;1.995.833
Total;05 Canarias;Total;2005;1.968.280
Total;05 Canarias;Total;2004;1.915.540
Total;05 Canarias;Total;2003;1.894.868
Total;05 Canarias;Total;2002;1.843.755
Total;05 Canarias;Total;2001;1.781.366
Total;05 Canarias;Total;2000;1.716.276
Total;05 Canarias;Total;1999;1.672.689
Total;05 Canarias;Total;1998;1.630.015
Total;05 Canarias;Total;1997;""
Total;05 Canarias;Total;1996;1.606.534
Total;05 Canarias;Hombres;2021;1.074.180
Total;05 Canarias;Hombres;2020;1.076.185
Total;05 Canarias;Hombres;2019;1.065.971
Total;05 Canarias;Hombres;2018;1.054.032
Total;05 Canarias;Hombres;2017;1.045.113
Total;05 Canarias;Hombres;2016;1.042.838
Total;05 Canarias;Hombres;2015;1.043.203
Total;05 Canarias;Hombres;2014;1.046.373
Total;05 Canarias;Hombres;2013;1.055.302
